項番,単語,フリガナ,clientIP,IPLIST,status
0,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
1,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
3,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
4,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
5,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
6,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
7,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
8,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
9,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
10,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
11,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
12,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
13,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
14,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
15,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
16,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
17,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
18,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
19,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
20,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
21,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
22,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
23,エリオをかまってちゃん,エリオヲカマッテチャン,127.0.0.1,['127.0.0.1'],1
24,革命後夜に乞う,カクメイコウヤニコウ,127.0.0.1,['127.0.0.1'],1
25,あああああああああああああああああ,アアアアアアアアアアアアアアアアアア,127.0.0.1,['127.0.0.1'],1
26,１１１１１１１１１１１１１１１１１,エエエエエエエエエエエエエエエエエエエエエエ,127.0.0.1,['127.0.0.1'],1
27,あああああああああ,アアアアアアアアアアアアアアアアアア,127.0.0.1,['127.0.0.1'],1
28,どうでもいいですよおおお,ドウデモイイデスヨオ,127.0.0.1,['127.0.0.1'],1
29,ああああああああああああああああああ,アアアアアアアアアアアアアアアアアア,127.0.0.1,['127.0.0.1'],1
